name,dataset,F1,IoU,MAE
Casiav1__Sp_D_CND_A_pla0005_pla0023_0281.png,Casiav1,0.0,0.0,0.0871988907456398
Casiav1__Sp_D_CND_A_sec0056_sec0015_0282.png,Casiav1,0.0,0.0,0.1043192520737648
Casiav1__Sp_D_CNN_A_ani0049_ani0084_0266.png,Casiav1,0.0,0.0,0.0399373359978199
Casiav1__Sp_D_CNN_A_ani0053_ani0054_0267.png,Casiav1,0.0,0.0,0.02205403707921505
Casiav1__Sp_D_CNN_A_art0024_ani0032_0268.png,Casiav1,0.0,0.0,0.064910888671875
Casiav1__Sp_D_CNN_A_cha0025_pla0067_0269.png,Casiav1,0.0,0.0,0.1123148575425148
Casiav1__Sp_D_CNN_A_nat0014_nat0017_0097.png,Casiav1,0.0,0.0,0.09674072265625
Casiav1__Sp_D_CNN_A_nat0071_ani0024_0270.png,Casiav1,0.0,0.0,0.060546875
Casiav1__Sp_D_CNN_A_nat0085_ani0027_0271.png,Casiav1,0.0,0.0,0.03936767578125
Casiav1__Sp_D_CNN_A_pla0030_pla0061_0272.png,Casiav1,0.0,0.0,0.1134847030043602
Casiav1__Sp_D_CNN_A_pla0070_pla0073_0273.png,Casiav1,0.0,0.0,0.1118672713637352
Casiav1__Sp_D_CNN_A_pla0079_pla0049_0274.png,Casiav1,0.0,0.0,0.0692036971449852
Casiav1__Sp_D_CNN_A_sec0012_ani0007_0275.png,Casiav1,0.0,0.0,0.0908915176987648
Casiav1__Sp_D_CNN_A_sec0041_pla0037_0098.png,Casiav1,0.0,0.0,0.0870869979262352
Casiav1__Sp_D_CNN_C_ani0068_ani0045_0099.png,Casiav1,0.0,0.0,0.00494384765625
Casiav1__Sp_D_CNN_R_art0006_art0087_0276.png,Casiav1,0.0,0.0,0.2327779084444046
Casiav1__Sp_D_CNN_R_art0017_art0090_0277.png,Casiav1,0.0,0.0,0.02220662496984005
Casiav1__Sp_D_CNN_R_art0027_art0066_0100.png,Casiav1,0.0,0.0,0.0358479805290699
Casiav1__Sp_D_CNN_R_art0044_art0018_0278.png,Casiav1,0.0,0.0,0.0358479805290699
Casiav1__Sp_D_CNN_R_sec0018_sec0004_0101.png,Casiav1,0.0,0.0,0.01875813864171505
Casiav1__Sp_D_CRN_A_ani0036_ani0066_0372.png,Casiav1,0.0,0.0,0.0592244453728199
Casiav1__Sp_D_CRN_A_ani0043_ani0041_0373.png,Casiav1,0.0,0.0,0.1355794221162796
Casiav1__Sp_D_CRN_A_ani0092_ani0052_0374.png,Casiav1,0.0,0.0,0.0323282890021801
Casiav1__Sp_D_CRN_A_arc0007_arc0005_0228.png,Casiav1,0.0,0.0,0.009145100601017475
Casiav1__Sp_D_CRN_A_arc0009_ani0048_0375.png,Casiav1,0.0,0.0,0.06011962890625
Casiav1__Sp_D_CRN_A_arc0023_arc0003_0376.png,Casiav1,0.0,0.0,0.0473429374396801
