name,dataset,split,image_source,mask_source,image_file,mask_file,image_sha256,mask_source_sha256,mask_sha256,rgb_pixels_sha256,image_hw,mask_hw,size_mismatch,binary_unit_mask_scaled,soft_mask,empty_mask,detail_sha256,trace_sha256
CASIA2__Tp_D_CND_M_N_ani00018_sec00096_00138,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_M_N_ani00018_sec00096_00138.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_M_N_ani00018_sec00096_00138_gt.png,CASIA2__Tp_D_CND_M_N_ani00018_sec00096_00138.tif,CASIA2__Tp_D_CND_M_N_ani00018_sec00096_00138.png,eaae4114af534d037c85d570a2f006b634cdb32490c55281bed69ee4d31f682c,747299a568cc1e5b147d9c9cc00db1347ab2eafb2f4c12be584187296976e876,747299a568cc1e5b147d9c9cc00db1347ab2eafb2f4c12be584187296976e876,148bd59c14dc77dbdd86f249c3d1ed8ec68b44caeecc2dfbf86dfba881e8e27b,256x384,256x384,False,False,False,False,1145654aafdf322984b1fa574f240bf6819e10272f9a1cc563991746a6585aad,d59f57e969d1bf729b6948f205f7e7f1218e240dd4f834b36e45308f1bbc5f71
CASIA2__Tp_D_CND_M_N_art00076_art00077_10289,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_M_N_art00076_art00077_10289.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_M_N_art00076_art00077_10289_gt.png,CASIA2__Tp_D_CND_M_N_art00076_art00077_10289.tif,CASIA2__Tp_D_CND_M_N_art00076_art00077_10289.png,8b9c98eb1f9bfe326e9b684329229c948da2b2021452e2a557bfd3d04713f27f,34c71bf860833594b60fb0efc8fb3196090c4a1e66301653cc095f9587191d3b,34c71bf860833594b60fb0efc8fb3196090c4a1e66301653cc095f9587191d3b,79d3162cfce94a1880e1034d9e586b8eab126aa671e38dbf99ef3e837ac50468,256x384,256x384,False,False,False,False,8e1d251aa728a5457b5f84b6f0a58d365247531ed69961fae630c2b472176b2f,becbd9c794f43525c33676e37bc48e513bd0be07f3e5e2c52fe6cada61bda62f
CASIA2__Tp_D_CND_M_N_art00077_art00076_10290,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_M_N_art00077_art00076_10290.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_M_N_art00077_art00076_10290_gt.png,CASIA2__Tp_D_CND_M_N_art00077_art00076_10290.tif,CASIA2__Tp_D_CND_M_N_art00077_art00076_10290.png,8e5fb300700149e41a24cbcff634ee44540d828b1a2cee73902136488a9cebaf,391ca11708eb189e47834dc7c18b725110184bc9226aec2c25096d8065cec334,391ca11708eb189e47834dc7c18b725110184bc9226aec2c25096d8065cec334,65d0aabd80015f2a5bbd814ff9957ccc75da514c88381fbd929e1955725af968,256x384,256x384,False,False,False,False,882dad2db54866bdb0545a54c597ac3dc2910f6f622e6571f4d2d19831cf2291,d28c6c5472948d9349b492ae23d9024cf1e0e33f64bc9f965921aefdeb5ccf42
CASIA2__Tp_D_CND_S_N_ani00073_ani00068_00193,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_S_N_ani00073_ani00068_00193.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_S_N_ani00073_ani00068_00193_gt.png,CASIA2__Tp_D_CND_S_N_ani00073_ani00068_00193.tif,CASIA2__Tp_D_CND_S_N_ani00073_ani00068_00193.png,25695c238ea9b38c910aa6eb5d1c95ff2d72df9459a744b4f2e589496342e9f3,d55cdddda8caed4ccc866f161532f9275ac205b99ca25c72e997dc2fe5b6c20b,d55cdddda8caed4ccc866f161532f9275ac205b99ca25c72e997dc2fe5b6c20b,9c9b5a5423e6c440a394d5c215fd79a430bf5ff23aaca29bfa65a7e0ddda3bbd,384x256,384x256,False,False,False,False,c4e1a58532cfb6e27e4657981377d0e13c77b092dbe1feecfe53755aa58857eb,91fdd7e7a5d7c4b27b08ad0acab8e6fb5a3f0827b96b31499ff44dc4d65fb815
CASIA2__Tp_D_CND_S_N_ind00078_ind00077_00476,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_S_N_ind00078_ind00077_00476.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_S_N_ind00078_ind00077_00476_gt.png,CASIA2__Tp_D_CND_S_N_ind00078_ind00077_00476.tif,CASIA2__Tp_D_CND_S_N_ind00078_ind00077_00476.png,32d36b92dc39268d361d005226f4eac5fec04eb9239052c85267507648d82a7a,a09510a0dc0e0107aa2247b25eabd3272d83c3594108966e3f71434a6c660fc6,a09510a0dc0e0107aa2247b25eabd3272d83c3594108966e3f71434a6c660fc6,24432fc64ccf7a36d326f1a44541010601957bca8e36c93e952d23a54fab0eb9,256x384,256x384,False,False,False,False,05a3c55993130d4984f897e88d60306efeacaa458335f9eaf153ddea8aa167dd,00271db66eb93d3ce67ce37e792ef43973935f3b6833e99977334732cafd004d
CASIA2__Tp_D_CND_S_N_txt00028_txt00006_10848,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CND_S_N_txt00028_txt00006_10848_gt.png,CASIA2__Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,CASIA2__Tp_D_CND_S_N_txt00028_txt00006_10848.png,ba4b3dfd515b61b629e87a8b7c11b8c07ea62d0584ed76d5627c5826aef59a80,e5d21ea19a14bd231875d5b831921dc118424a0b888c99b3de33871d9030054f,e5d21ea19a14bd231875d5b831921dc118424a0b888c99b3de33871d9030054f,0952add3c0c1a21a33720ae4cf66095a2622138210bb25efbc09698f0c3ee371,256x384,256x384,False,False,False,False,da6810c059ed367ebc858423c95d8ac6e46d48048994ddb979363d861dc5631b,9e23c9e03bbe22a55a39e4433f76b58abf31621fd3eff6c36162761282d12294
CASIA2__Tp_D_CNN_M_B_nat00056_nat00099_11105,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_B_nat00056_nat00099_11105_gt.png,CASIA2__Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,CASIA2__Tp_D_CNN_M_B_nat00056_nat00099_11105.png,04ee9a5473fb41de48c6de94d267ff76e71b9f337b2ee9f183618937a0fcda8f,41a10d2688a4a33e8be10a70596241cf1a190909979cd58e9824edb90e074f24,41a10d2688a4a33e8be10a70596241cf1a190909979cd58e9824edb90e074f24,b014a39d2af62b7a3927001dcc011773ed2c01d1df8971c8f34dfe09ea83621a,256x384,256x384,False,False,False,False,1e864526f9dbabc0ef21129b8b5b8c50af7a2f26df0b1075a1123180e8c57f58,b3c76f13cf85902e5fcc412f7e4d8bdcbfa408ce5bbc2898548a865e1c1c8699
CASIA2__Tp_D_CNN_M_B_nat10139_nat00059_11949,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_B_nat10139_nat00059_11949_gt.png,CASIA2__Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,CASIA2__Tp_D_CNN_M_B_nat10139_nat00059_11949.png,8c495e24dc1e529db209ae39f72c0e84893311e172caef1ecb0987e50b6dfc46,72b7719377c7ebee9d8f43af3c3612818d0a14288c82fc3b95aa1bb5465e6ea5,72b7719377c7ebee9d8f43af3c3612818d0a14288c82fc3b95aa1bb5465e6ea5,f30202839ad2b0014d12dc5b74e81c04b971bbc8911db80e3d8253746a451db7,480x640,480x640,False,False,False,False,5cb1058c15030d9b255f52577a2735f4713ba5d57ba90b56768bfb33250e702f,5ee67e5e455b9bea5c32819cc3117154e9a3785f4dc43afc182248e66278e50a
CASIA2__Tp_D_CNN_M_B_nat10139_nat00097_11948,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_B_nat10139_nat00097_11948_gt.png,CASIA2__Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,CASIA2__Tp_D_CNN_M_B_nat10139_nat00097_11948.png,32437c756cc8899a3f0bc223fc2aaf48dca90c570b8cd8045b04943edd2d49f7,00c035b4ddc1acf7ddec227cc1503936b199a2a6f1e876f4eed3a9c610367c1a,00c035b4ddc1acf7ddec227cc1503936b199a2a6f1e876f4eed3a9c610367c1a,addc7a146e567a2dc4921037e90dbcab62c81c31030995669b5cc30d48b75924,480x640,480x640,False,False,False,False,2e9df727e0aa59e49da9a5261f77221028b926732c8f527b093b6a10c9299a37,ef8299d53cb31484c366570f2dd3b3c8ca35e9e6b5b469fdec080d19d8dc2df8
CASIA2__Tp_D_CNN_M_N_ani00023_ani00024_10205,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_ani00023_ani00024_10205_gt.png,CASIA2__Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,CASIA2__Tp_D_CNN_M_N_ani00023_ani00024_10205.png,a9be08a082ca0a222810751aea7ba69f968c9e9781396f7ddd1129270895d31f,057221725ce18ccc39a6b0aa62a8ed12586b29dc362bbacb66fb0c79e73d918e,057221725ce18ccc39a6b0aa62a8ed12586b29dc362bbacb66fb0c79e73d918e,5de6b09082878c6bbf29b4430dc497df67b833e9f24ba0951970ed6c97f17a96,256x384,256x384,False,False,False,False,5cee5f119c856a919927ae423f8725667c1b73b2152b41d57843b63f06ad1295,cc09c1120e79eb87a9b38dde93cd2e88e7db4c9e1218c1fe9565a7ea1f27a67d
