stem,prefix,split,image_sha256,mask_sha256,rgb_pixels_sha256,image_hw,mask_hw,size_mismatch,empty_mask,soft_mask,detail_sha256,trace_sha256
BN (2551),BN,train,e7e904b09e459c451d4c89e45345639751572b62e47080f33b9aac035a2641c5,4a50484d1baa85763e4c290a104c89584337a966df30d7124f4631bd29dac1ed,d9ce0934292e07633916b72cc306e31cc40caaf565e11563db749362fdef9870,500x750,500x750,False,False,True,14ea644ee1e5dae94cb64709180a4ed380d965796c8e25b97ab9ee747eaa981e,7f2e19b2ecf72168667f5c2d2a9f27d7b49a3f5f0f9e41ef304b4fedd6abe024
BN (2552),BN,train,75bacbbfd90b1b45b9ce0c4777e0cf0c9e05a74ae460a95b56197862afc07f2b,1a5fd6ec31d670c7be141dd9e62bfad2a20c01073592225d3132c504f3760da4,b08331ace38481ff3b7a8c9288cdde25f08ddb70740478724687bca8df6e7611,500x750,500x750,False,False,True,0a8711cbb0402b5fce42c339322a9e50f6dd89bb454f55ab5ac85c3f97824e36,83a95bce04fd2937072759e063d61079a8302bc483067101a19868f547a4fb38
BN (2553),BN,train,6b3f56b8f04e2afc44c4e260d5e11938e3c89d106c3a7f3143ab7b12a18c27b1,4822da8fad69a607f9f810177291ec59b30f352faf173ed0d8c8b53e152be919,69441c50485e83e7ec57ed58181e8f6b875048eca2b892d6283ed8a18ac362ef,286x640,286x640,False,False,True,d161f207425f6ac941b0953553542117ba859a9caed9224444e2018f29f2326f,8466a269b65ecfd1b6f9cd236bc197393b31d7f682b4f33c3caf573f1375cb9c
BN (2554),BN,train,fa674836498927d69b83f0ddab4fa26e32dfec774c4d01738f69523db0ac34d3,30c70e51c6107787cb8f4149483f71a04e617684439963277a1bc57752793631,68c402ba830e74351252f0822edb66c7430278b2805f7452d7bee5b072750cd2,500x750,500x750,False,False,True,4e88576705282258de49fac45ecad8d13a73a75efb60c0e932064e82a47b0414,7f6419c289b97105b79876438f03bc6a2bbb13cb9a917ee130fd34587fc4e9e6
BN (2555),BN,train,c8e90f25c3a3237aed155ea81860b32e70f9d53f6a2894188a02a221a1a0f0b3,f9523de71c709831970792f8ba04811034c604647cfc8b0690acdec0aa5e017e,b02a22660c74ae218ae2a29062df0361849550ddb5366b2f5c75eac5c40e3ed5,706x500,706x500,False,False,True,5a847fd760acce6a8b9e16dc29c67da836899d14ffa47095f9c791298d967910,1494e1ae841abb1af941442b2fbf6cafc810a40e079a169e57ff4cc5461b7dc1
BN (2556),BN,train,ea23b810d6b254ee0ee594e749e145e90bdaf9885da4f2ba30e3450194bac5ad,89a5a944c0ff54dd7648522a532cd8616fd5228bcd98f4b8979946445036a218,95a83f9c79912eefe7406db3746c16c3b502df0b8c9d6bbb67708a4612258d7c,500x889,500x889,False,False,True,b95386f4372ec15aeb373ec3ee9683536cdd916d335d709e942f4dd11236b7e4,e468759a0586db9f4faf664b3b65c6af9afbcf5e41569c131b02b90327af06e6
BN (2557),BN,test,2f2c27149232ef7eee02aa0900cfc5634f845aa1b86ba5496f0a6358380ad78f,ae73ac4abd196afd7a2318b77677df2e35637d920346a7bd60839d4efe63e2c5,21a9c0a5c459c44d0428e1856a1f5d8af726e97892c2c6d1bf248c13b450330a,538x500,538x500,False,False,True,65134b90b99290e61e0b6e31d3a23f834f3aef7b642898e17e5bcdf71d002896,ab3700a8c269c6af369e93953d329e80d9762260104a5030cfb42c809f830558
BN (2558),BN,train,230cb7059a10c8097694f4b368fab59c35d0b561d2688ead4eb847135697d18c,394449ec8d2360da55352280e8c5b7191401b7006a7049f4915fb35858be5e89,ce85a7a4acdb05817299b0b3cf871789d83d522c0772ba3fe4d49705984214c6,500x1000,500x1000,False,False,True,0f4c0754cffb86753a45ee66e27bdb38ab2574e03993b134e63a788563a8d2ea,50f0fc70d3e6abe3328bb56d3861b1aa8d2a6e34828e1cf59ab8d26bde28c7bb
BN (2559),BN,train,fabdb1f1f25a8093fed11d4b72bfafcd89797be5172773ef1846671339f57355,5303ddff74b3133dc1b56724e35c0ebf23a1e4ae4034e264c10ca69272bd1da9,88f59f9e619690427447bd5a3c8e7dcc971e9afd4f302d41275481d6d28ec0d2,500x1000,500x1000,False,False,True,fc40952a2c7024ea76c3e22279a951e06ef3e972b1c4e643616127f251f106a7,83f644f19edd4aa7216cad108b4d740f056bb6f56c334067a065de6d5ff6f7be
BN (2560),BN,test,9b0a42435b8d54109d8dc4eec53fdb2b811789e3c690860f7929e8e143c857f2,d13e8485326158996370d063fc0cca7ab51461836bf745183c74f85d0bd1ba03,6fd56804afcad7236a2828b4f1cb427061368f723100a250a45c6f57cb6fcc3a,360x571,360x571,False,False,True,c2a418fa1d209964950448f5b72c647a5c815ac3ef2edc8afa53eb3c05f820db,14a88efd8254cfa8df82fdaa5e8a8d1dc7f0456687c4f9bb309ef3e647677300
